[2025-12-10 15:01:10,306] [INFO]  === Universal Zoning System (Harmony Edition) Loading ===
[2025-12-10 15:01:10,307] [INFO]  Mod location: C:/Users/charl/AppData/LocalLow/Colossal Order/Cities Skylines II/Mods/Universal Zoning System (UZS)/Universal Zoning System (UZS).dll
[2025-12-10 15:01:10,312] [INFO]  Initializing Harmony patches...
[2025-12-10 15:01:10,495] [INFO]  Harmony patches applied successfully. ID: com.universalzoning.mod
[2025-12-10 15:01:10,496] [INFO]  UniversalZoneUISystem created.
[2025-12-10 15:01:10,500] [INFO]  UniversalZonePrefabSystem created.
[2025-12-10 15:01:10,501] [INFO]  HarmonyBuildingInitializerSystem created.
[2025-12-10 15:01:10,501] [INFO]  Systems registered with PrefabUpdate phase.
[2025-12-10 15:01:10,501] [INFO]  === Universal Zoning System Loaded Successfully ===
[2025-12-10 15:02:16,285] [INFO]  === Starting Universal Zone UI Creation ===
[2025-12-10 15:02:16,286] [INFO]  Searching through 88 zone entities for templates...
[2025-12-10 15:02:16,287] [INFO]  Template for CommercialLow: CCP6 Commercial Low
[2025-12-10 15:02:16,289] [INFO]  Template for ResidentialMixed: UbPr Residential Mixed
[2025-12-10 15:02:16,289] [INFO]  Template for ResidentialMedium: CCP5 Residential Medium
[2025-12-10 15:02:16,290] [INFO]  Template for OfficeHigh: FR Office High
[2025-12-10 15:02:16,290] [INFO]  Template for ResidentialLow: EE Residential LowRent
[2025-12-10 15:02:16,291] [INFO]  Template for OfficeLow: USSW Office Low
[2025-12-10 15:02:16,291] [INFO]  Template for ResidentialHigh: CN Residential High
[2025-12-10 15:02:16,291] [INFO]  Template for CommercialHigh: EU Commercial High
[2025-12-10 15:02:16,292] [INFO]  Template for ResidentialMixed: EU Residential Mixed Old Town
[2025-12-10 15:02:16,292] [INFO]  Template for ResidentialMixed: EU Residential Mixed
[2025-12-10 15:02:16,293] [INFO]  Template for CommercialHigh: NA Commercial High
[2025-12-10 15:02:16,293] [INFO]  Template for ResidentialMixed: NA Residential Mixed Old Town
[2025-12-10 15:02:16,293] [INFO]  Template for ResidentialMixed: NA Residential Mixed
[2025-12-10 15:02:16,294] [INFO]  Template for ResidentialHigh: EU Residential High
[2025-12-10 15:02:16,294] [INFO]  Template for ResidentialLow: NA Residential Low Waterfront
[2025-12-10 15:02:16,294] [INFO]  Template for ResidentialMedium: EU Residential Medium Row
[2025-12-10 15:02:16,295] [INFO]  Template for ResidentialMedium: EU Residential Medium
[2025-12-10 15:02:16,295] [INFO]  Template for ResidentialHigh: NA Residential High
[2025-12-10 15:02:16,295] [INFO]  Template for ResidentialLow: EU Residential Low Waterfront
[2025-12-10 15:02:16,296] [INFO]  Template for ResidentialMedium: NA Residential Medium Row
[2025-12-10 15:02:16,296] [INFO]  Template for ResidentialMedium: NA Residential Medium
[2025-12-10 15:02:16,297] [INFO]  Template for CommercialLow: EU Commercial Low Waterfront
[2025-12-10 15:02:16,297] [INFO]  Template for CommercialLow: NA Commercial Low Waterfront
[2025-12-10 15:02:16,297] [INFO]  Template for CommercialLow: NA Commercial Low
[2025-12-10 15:02:16,297] [INFO]  Template for CommercialLow: EU Commercial Low
[2025-12-10 15:02:16,298] [INFO]  Template for ResidentialLow: EU Residential Low
[2025-12-10 15:02:16,298] [INFO]  Template for ResidentialLow: NA Residential Low
[2025-12-10 15:02:16,298] [INFO]  Found 8 zone templates.
[2025-12-10 15:02:16,299] [INFO]  Found Zones menu: Zones (Entity: 17093)
[2025-12-10 15:02:16,300] [INFO]  Created Universal Zones category:
[2025-12-10 15:02:16,300] [INFO]    Name: ZonesUniversal
[2025-12-10 15:02:16,301] [INFO]    Menu: Zones
[2025-12-10 15:02:16,301] [INFO]    Icon: Media/Game/Icons/Zones.svg
[2025-12-10 15:02:16,301] [INFO]    Priority: 100
[2025-12-10 15:02:16,302] [INFO]    Entity: 63671
[2025-12-10 15:02:16,304] [INFO]    UZS_LowResidential: Priority=0, Group=ZonesUniversal
[2025-12-10 15:02:16,304] [INFO]    Removed ThemeObject from UZS_LowResidential
[2025-12-10 15:02:16,305] [INFO]    Template ZoneData: AreaType=Residential, ZoneType=Game.Zones.ZoneType, ZoneFlags=0
[2025-12-10 15:02:16,305] [INFO]    Current ZoneData: AreaType=None, ZoneType=Game.Zones.ZoneType, ZoneFlags=0
[2025-12-10 15:02:16,307] [INFO]    Copied ZoneData to entity
[2025-12-10 15:02:16,307] [INFO]  Created universal zone: Universal Low Residential (Entity: 63672)
[2025-12-10 15:02:16,307] [INFO]  No template for UZS_RowResidential (type: ResidentialRow), skipping...
[2025-12-10 15:02:16,308] [INFO]    UZS_MediumResidential: Priority=1, Group=ZonesUniversal
[2025-12-10 15:02:16,308] [INFO]    Removed ThemeObject from UZS_MediumResidential
